Station Id,Name,Latitude,Longitude,Number of Bikes
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,6
7001,Wellesley Station Green P,43.66496415990742,-79.38355031526893,11
7002,St. George St / Bloor St W,43.667333,-79.399429,9
7003,Madison Ave / Bloor St W,43.667158,-79.402761,2
7004,University Ave / Elm St,43.656518,-79.389099,6
7005,King St W / York St,43.6480008,-79.383177,17
7006,Bay St / College St (East Side),43.660439,-79.385525,2
7007,College St / Huron St,43.658148,-79.398167,8
7008,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,15
7009,King St E / Jarvis St,43.650325,-79.372287,16
7010,King St W / Spadina Ave,43.645323,-79.395003,8
7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,11
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,5
7015,King St W / Bay St (West Side),43.64852,-79.380576,31
7016,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,32
7018,Bremner Blvd / Rees St,43.641529,-79.386741,9
7020,Phoebe St / Spadina Ave,43.650033,-79.396555,21
7021,Bay St / Albert St,43.653264,-79.382458,29
7022,Simcoe St / Queen St W,43.65049,-79.3873,11
7023,College St / Borden St,43.6571,-79.4056,3
7024,Dundonald St / Church St,43.66663,-79.38148,16
7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471,1
7026,Bay St / St. Joseph St,43.665527,-79.387499,2
7027,Beverley  St / Dundas St W,43.652823,-79.393388,13
7028,Gould St / Mutual St,43.6582,-79.3768,16
7029,Bay St / Bloor St W (East Side),43.66943,-79.38915,12
7030,Bay St / Wellesley St W,43.664088,-79.387095,24
7031,Jarvis St / Isabella St,43.668991,-79.379385,7
7032,Augusta Ave / Dundas St W,43.652473,-79.401456,5
7033,Union Station,43.645609,-79.380386,25
7034,Church St / Bloor St E,43.671389,-79.382919,4
7035,Queen St W / Ossington Ave,43.643975,-79.419576,16
7036,Trinity St /Front St E,43.651318,-79.36023,12
7037,Bathurst St / Dundas St W,43.6519501,-79.4060978,17
7038,Dundas St W / Yonge St,43.656094,-79.381484,27
7039,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,5
7040,Euclid Ave / Bloor St W,43.664467,-79.414783,1
7041,Edward St / Yonge St,43.656729,-79.382736,22
7042,Sherbourne St / Wellesley St E,43.6673,-79.374,12
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,4
7044,Church St / Alexander St,43.663722,-79.380288,11
7045,Bond St / Queen St E,43.653236,-79.376716,12
7046,Niagara St / Richmond St W,43.64534,-79.409597,10
7047,University Ave / Gerrard St W (East Side),43.657763,-79.389165,24
7048,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,31
7049,Portland St / Queen St W,43.6476,-79.4015,11
7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,8
7052,Wellington St W / Bay St,43.647259,-79.379878,20
