Name,Category,Distance (m),Rating %,Price 1-4,Station Id,Station Name,Number of Bikes
Gusto 101,Italian,673.3,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Hunters Landing,Comfort Food,60.9,70.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Mira,Peruvian,472.0,90.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Sansotei Ramen,Ramen,202.6,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Jacobs & Co. Steakhouse,Steakhouses,641.1,90.0,4.0,7000,Fort York  Blvd / Capreol Ct,6
Le Sélect Bistro,French,458.7,80.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Aloette,French,970.3,90.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Chubby's Jamaican Kitchen,Caribbean,722.9,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Rodney's Oyster House,Seafood,573.4,80.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Pizzeria Libretto,Pizza,534.8,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Wvrst,German,632.6,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Lee,Asian Fusion,865.8,80.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Khao San Road,Thai,755.4,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Buca,Italian,631.3,80.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Alo Restaurant,Bars,969.9,90.0,4.0,7000,Fort York  Blvd / Capreol Ct,6
The Haam,Japanese,870.5,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Akira Back,Japanese,671.8,80.0,4.0,7000,Fort York  Blvd / Capreol Ct,6
The Keg Steakhouse + Bar,Steakhouses,608.8,80.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
La Palette,French,992.4,80.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Roywoods,Caribbean,215.4,70.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Wilbur Mexicana,Mexican,598.1,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Ruby Soho,American (Traditional),590.8,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
The Morning After,Breakfast & Brunch,102.5,70.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Iruka Sushi,Japanese,326.7,70.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Minami Toronto,Japanese,972.7,80.0,,7000,Fort York  Blvd / Capreol Ct,6
Kiin,Thai,920.0,80.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Beast Pizza,Pizza,919.7,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
TOCA,Italian,938.0,80.0,4.0,7000,Fort York  Blvd / Capreol Ct,6
Saku Sushi,Sushi Bars,986.5,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Aanch,Indian,674.5,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Campechano Taquería,Mexican,769.6,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
360 Restaurant,Canadian (New),783.7,70.0,4.0,7000,Fort York  Blvd / Capreol Ct,6
Chin Chin Street Side Kitchen,Chinese,278.7,70.0,,7000,Fort York  Blvd / Capreol Ct,6
1 Kitchen Toronto,Cocktail Bars,609.2,80.0,,7000,Fort York  Blvd / Capreol Ct,6
Banh Mi Boys,Vietnamese,999.0,90.0,1.0,7000,Fort York  Blvd / Capreol Ct,6
Ramen Isshin,Ramen,979.9,90.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Jz's Pizza,Pizza,787.1,80.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Steam Whistle Biergarten,German,866.5,90.0,,7000,Fort York  Blvd / Capreol Ct,6
Edulis,Spanish,887.2,80.0,4.0,7000,Fort York  Blvd / Capreol Ct,6
Oretta,Italian,644.1,70.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Cibo Wine Bar,Wine Bars,598.2,70.0,2.0,7000,Fort York  Blvd / Capreol Ct,6
Kost,American (Traditional),671.8,70.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Luma,Canadian (New),880.2,70.0,3.0,7000,Fort York  Blvd / Capreol Ct,6
Storm Crow Manor,Bars,250.8,80.0,2.0,7001,Wellesley Station Green P,11
Kintaro Izakaya,Japanese,290.4,80.0,2.0,7001,Wellesley Station Green P,11
ramen RAIJIN ,Ramen,190.9,70.0,2.0,7001,Wellesley Station Green P,11
Mabu Generation,Taiwanese,104.0,80.0,2.0,7001,Wellesley Station Green P,11
Darvish Restaurant,Persian/Iranian,181.6,80.0,2.0,7001,Wellesley Station Green P,11
Si Lom Thai Bistro,Thai,218.8,80.0,2.0,7001,Wellesley Station Green P,11
The Keg Steakhouse + Bar,Steakhouses,498.0,80.0,3.0,7001,Wellesley Station Green P,11
Hair of the Dog,Pubs,389.4,80.0,2.0,7001,Wellesley Station Green P,11
Koyoi Restaurant & Bar,Japanese,245.2,80.0,2.0,7001,Wellesley Station Green P,11
KINKA IZAKAYA ORIGINAL,Japanese,628.3,80.0,2.0,7001,Wellesley Station Green P,11
Seoulicious,Korean,131.9,70.0,2.0,7001,Wellesley Station Green P,11
Bloom,Cafes,135.2,90.0,,7001,Wellesley Station Green P,11
Sambucas On Church,Italian,260.3,70.0,2.0,7001,Wellesley Station Green P,11
Burrito Bandidos,Mexican,211.2,80.0,1.0,7001,Wellesley Station Green P,11
Ethiopian House Restaurant,Ethiopian,263.9,70.0,2.0,7001,Wellesley Station Green P,11
Mr.Tonkatsu,Japanese,104.9,80.0,2.0,7001,Wellesley Station Green P,11
Lao Lao Bar,Laotian,192.6,90.0,,7001,Wellesley Station Green P,11
Torch Pressed Sushi,Japanese,243.2,90.0,2.0,7001,Wellesley Station Green P,11
Four Four South Village,Taiwanese,297.6,70.0,,7001,Wellesley Station Green P,11
Dal Moro's Fresh Pasta To Go,Italian,241.4,70.0,2.0,7001,Wellesley Station Green P,11
The Captain's Boil,Seafood,286.8,70.0,2.0,7001,Wellesley Station Green P,11
Fushimi,Japanese,239.6,70.0,2.0,7001,Wellesley Station Green P,11
W Burger Bar,Burgers,389.5,70.0,2.0,7001,Wellesley Station Green P,11
The Churchmouse: A Firkin Pub,Pubs,276.6,70.0,2.0,7001,Wellesley Station Green P,11
Chung Chun Rice Hotdog,Hot Dogs,105.7,90.0,,7001,Wellesley Station Green P,11
KINTON RAMEN,Ramen,625.5,80.0,2.0,7001,Wellesley Station Green P,11
Katsuya,Japanese,673.7,90.0,2.0,7001,Wellesley Station Green P,11
PLANTA Yorkville,Vegetarian,752.4,80.0,2.0,7001,Wellesley Station Green P,11
Ginger,Vietnamese,210.7,70.0,1.0,7001,Wellesley Station Green P,11
Trattoria Nervosa,Italian,907.7,80.0,2.0,7001,Wellesley Station Green P,11
Not Just Noodles,Chinese,101.3,70.0,1.0,7001,Wellesley Station Green P,11
Barberian's Steak House,Steakhouses,825.4,80.0,4.0,7001,Wellesley Station Green P,11
The Fry,Korean,106.5,70.0,2.0,7001,Wellesley Station Green P,11
The Queen And Beaver Public House,Pubs,848.1,80.0,2.0,7001,Wellesley Station Green P,11
Blaze Pizza,Pizza,979.2,90.0,2.0,7001,Wellesley Station Green P,11
BOKU,Ramen,130.4,70.0,,7001,Wellesley Station Green P,11
The Oats Kafé,Cafes,258.7,80.0,,7001,Wellesley Station Green P,11
Tokyo Kitchen,Japanese,476.1,80.0,2.0,7001,Wellesley Station Green P,11
Banh Mi Boys,Vietnamese,663.0,80.0,1.0,7001,Wellesley Station Green P,11
Egg Club Wellesley,Breakfast & Brunch,99.9,90.0,1.0,7001,Wellesley Station Green P,11
Bumpkins Restaurant,French,189.0,80.0,2.0,7001,Wellesley Station Green P,11
Adega Restaurante,Portuguese,851.4,80.0,3.0,7001,Wellesley Station Green P,11
Kawa Sushi,Sushi Bars,300.7,70.0,2.0,7001,Wellesley Station Green P,11
T-swirl Crêpe,Creperies,174.7,80.0,1.0,7001,Wellesley Station Green P,11
Gurume Sushi,Sushi Bars,447.3,100.0,,7001,Wellesley Station Green P,11
The Oxley,Pubs,988.5,80.0,2.0,7001,Wellesley Station Green P,11
Fabarnak Community Cafe and Catering,Cafes,290.2,80.0,2.0,7001,Wellesley Station Green P,11
Tinuno,Filipino,979.0,80.0,2.0,7001,Wellesley Station Green P,11
Maison Selby,French,897.0,80.0,,7001,Wellesley Station Green P,11
Monga Fried Chicken,Taiwanese,353.5,70.0,2.0,7001,Wellesley Station Green P,11
Gyubee Japanese Grill - Bloor,Barbeque,100.0,80.0,3.0,7002,St. George St / Bloor St W,9
Fieramosca,Italian,298.8,90.0,3.0,7002,St. George St / Bloor St W,9
Rasa,Canadian (New),624.6,90.0,2.0,7002,St. George St / Bloor St W,9
Opus Restaurant,Wine Bars,274.8,80.0,4.0,7002,St. George St / Bloor St W,9
Joso's,Seafood,899.9,90.0,3.0,7002,St. George St / Bloor St W,9
Yasu,Japanese,594.1,90.0,4.0,7002,St. George St / Bloor St W,9
Bar Mercurio,Italian,99.3,70.0,3.0,7002,St. George St / Bloor St W,9
Her Father's Cider Bar & Kitchen,Gastropubs,692.9,90.0,2.0,7002,St. George St / Bloor St W,9
Trattoria Nervosa,Italian,786.1,80.0,2.0,7002,St. George St / Bloor St W,9
The Oxley,Pubs,625.0,80.0,2.0,7002,St. George St / Bloor St W,9
Playa Cabana,Mexican,969.4,80.0,2.0,7002,St. George St / Bloor St W,9
